row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc,description,abs(LFC)
ENSG00000187608,369.3328416,0.898365352,0.310397455,2.894242008,0.003800751,0.030426113,ISG15,ISG15 ubiquitin-like modifier [Source:HGNC Symbol;Acc:HGNC:4053],0.898365352
ENSG00000131584,390.8019779,-0.26876533,0.079457652,-3.382497758,0.000718299,0.011997521,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]",0.26876533
ENSG00000107404,189.4670835,-0.361432845,0.100231227,-3.605990433,0.000310965,0.007876111,DVL1,dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084],0.361432845
ENSG00000221978,726.1061428,-0.223369367,0.062301528,-3.585295171,0.000336697,0.008082196,CCNL2,cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570],0.223369367
ENSG00000197530,606.0167494,-0.40156172,0.097038566,-4.138166273,3.50E-05,0.00262946,MIB2,mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577],0.40156172
ENSG00000008130,3434.385508,0.357283297,0.117488883,3.040996643,0.002357965,0.023710103,NADK,NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831],0.357283297
ENSG00000149527,198.6225729,-0.513329808,0.126359087,-4.062468464,4.86E-05,0.003054237,PLCH2,phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037],0.513329808
ENSG00000162591,635.4776758,-0.293927843,0.105432401,-2.787832206,0.005306202,0.036653313,MEGF6,multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232],0.293927843
ENSG00000116198,282.0016361,-0.219928094,0.081081694,-2.712425976,0.00667927,0.04154532,CEP104,centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866],0.219928094
ENSG00000215788,181.9729276,-0.522328887,0.175115882,-2.982761363,0.002856606,0.026109164,TNFRSF25,TNF receptor superfamily member 25 [Source:HGNC Symbol;Acc:HGNC:11910],0.522328887
ENSG00000204859,424.5028495,0.231814012,0.082190509,2.820447468,0.004795672,0.034717452,ZBTB48,zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:HGNC:4930],0.231814012
ENSG00000162413,1599.594907,0.303742096,0.101157927,3.002652426,0.002676379,0.025145738,KLHL21,kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041],0.303742096
ENSG00000171735,81.2709137,-0.336566265,0.125920589,-2.672845396,0.00752109,0.04470672,CAMTA1,calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806],0.336566265
ENSG00000049245,366.6227847,0.273115647,0.086074955,3.172997838,0.001508736,0.017949346,VAMP3,vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644],0.273115647
ENSG00000054523,748.9232525,0.378473013,0.127588238,2.966362878,0.003013447,0.026754564,KIF1B,kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636],0.378473013
ENSG00000142657,1645.437227,0.5392654,0.138360051,3.897551329,9.72E-05,0.004437129,PGD,phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891],0.5392654
ENSG00000132879,79.02345763,-0.375079516,0.135172747,-2.774816106,0.005523293,0.037614974,FBXO44,F-box protein 44 [Source:HGNC Symbol;Acc:HGNC:24847],0.375079516
ENSG00000116663,122.3661441,0.651169528,0.160242611,4.063647766,4.83E-05,0.003054237,FBXO6,F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585],0.651169528
ENSG00000177674,856.2327523,0.464910459,0.110815867,4.195341967,2.72E-05,0.002377538,AGTRAP,angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539],0.464910459
ENSG00000116685,783.9112934,0.339836937,0.096641491,3.51647034,0.000437326,0.009294214,KIAA2013,KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513],0.339836937
