© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_DESeq2_formanuscript_041119->AIH_012919_~spl_plate+sex+age+fibrosis_groups_DEgenes_ALL - 2019-01-29 09:37 PM->AIHcirrhosis-vs-AIHnocirrhosis
Workspace	My Projects
Project	AIH_DESeq2_formanuscript_041119
Analysis	AIHcirrhosis-vs-AIHnocirrhosis
Date	Tue Jan 29 21:37:22 PST 2019
Analysis ID	17364205

Experimental Metadata
projectname	AIH
organism	Human
case.tissue	Peripheral blood

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.6 and up regulated 0.6
Cutoff for Expression qvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_DESeq2_formanuscript_041119->AIH_012919_~spl_plate+sex+age+fibrosis_groups_DEgenes_ALL - 2019-01-29 09:37 PM->AIHcirrhosis-vs-AIHnocirrhosis
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
ATM Signaling	-0E00	NaN	1.03E-02	PPP2R5B,	
Actin Nucleation by ARP-WASP Complex	-0E00	NaN	1.61E-02	GNA12,	
Acute Phase Response Signaling	-0E00	NaN	1.70E-02	FTL,MAP2K3,ECSIT	
Adipogenesis pathway	-0E00	NaN	1.49E-02	KAT2B,FZD5	
Agranulocyte Adhesion and Diapedesis	-0E00	NaN	5.21E-03	MYL4,	
Agrin Interactions at Neuromuscular Junction	-0E00	NaN	1.33E-02	LAMC1,	
Antioxidant Action of Vitamin C	-0E00	NaN	9.17E-03	SLC2A1,	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	NaN	1.15E-02	IRS1,	
Apelin Pancreas Signaling Pathway	-0E00	NaN	1.69E-02	IRS1,	
Axonal Guidance Signaling	-0E00	NaN	1.81E-02	MYL4,GNAS,ARHGEF12,GNA12,EFNA1,IRS1,WNT16,KEL,FZD5	
B Cell Receptor Signaling	-0E00	NaN	1.55E-02	IRS1,MAP2K3,BCL2L1	
CCR3 Signaling in Eosinophils	-0E00	NaN	1.46E-02	GNAS,IRS1	
CCR5 Signaling in Macrophages	-0E00	NaN	1.06E-02	GNAS,	
CD28 Signaling in T Helper Cells	-0E00	NaN	7.46E-03	IRS1,	
CNTF Signaling	-0E00	NaN	1.41E-02	IRS1,	
CREB Signaling in Neurons	-0E00	NaN	1.37E-02	GNAS,GNA12,IRS1	
Calcium Signaling	-0E00	NaN	9.71E-03	MYL4,GRINA	
Cardiac β-adrenergic Signaling	-0E00	NaN	1.43E-02	PPP2R5B,GNAS	
Cdc42 Signaling	-0E00	NaN	1.80E-02	CDC42BPA,MYL4,DIAPH3	
Cell Cycle Control of Chromosomal Replication	-0E00	NaN	1.79E-02	CDC7,	
Dendritic Cell Maturation	-0E00	NaN	5.10E-03	IRS1,	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	NaN	1.84E-02	PPP2R5B,GNAS,GRINA	
EGF Signaling	-0E00	NaN	1.43E-02	IRS1,	
EIF2 Signaling	-0E00	1.0	1.75E-02	UBA52,EIF2AK1,RPL21,IRS1	
ERK/MAPK Signaling	-0E00	NaN	1.46E-02	HSPB1,PPP2R5B,IRS1	
Epithelial Adherens Junction Signaling	-0E00	NaN	1.34E-02	MYL4,CDH1	
ErbB2-ErbB3 Signaling	-0E00	NaN	1.30E-02	IRS1,	
ErbB4 Signaling	-0E00	NaN	1.25E-02	IRS1,	
Estrogen Receptor Signaling	-0E00	NaN	1.49E-02	KAT2B,CARM1	
Estrogen-Dependent Breast Cancer Signaling	-0E00	NaN	1.15E-02	IRS1,	
FLT3 Signaling in Hematopoietic Progenitor Cells	-0E00	NaN	1.09E-02	IRS1,	
