© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_WGCNA->Unique to Elites - 2019-06-04 10:46 PM - 2019-06-04 10:50 PM->Observation 1
Workspace	My Projects
Project	AIH_WGCNA
Analysis	Observation 1
Date	Tue Jun 04 22:50:34 PDT 2019
Analysis ID	17897615

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_WGCNA->Unique to Elites - 2019-06-04 10:46 PM - 2019-06-04 10:50 PM->Observation 1
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	NaN	2.01E-03	MAP2K3,	
Xenobiotic Metabolism Signaling	2.07E-01	NaN	3.30E-03	MAP2K3,	
G-Protein Coupled Receptor Signaling	2.23E-01	NaN	3.50E-03	CREB5,	
Colorectal Cancer Metastasis Signaling	2.41E-01	NaN	3.75E-03	BCL2L1,	
Phospholipase C Signaling	2.52E-01	NaN	3.89E-03	CREB5,	
Cardiac Hypertrophy Signaling	2.55E-01	NaN	3.94E-03	MAP2K3,	
EIF2 Signaling	2.82E-01	NaN	4.31E-03	UBA52,	
Role of NFAT in Cardiac Hypertrophy	2.85E-01	NaN	4.37E-03	MAP2K3,	
cAMP-mediated signaling	2.88E-01	NaN	4.41E-03	CREB5,	
Sperm Motility	2.91E-01	NaN	4.44E-03	MAP2K3,	
CREB Signaling in Neurons	2.95E-01	NaN	4.50E-03	CREB5,	
IL-8 Signaling	3.04E-01	NaN	4.65E-03	BCL2L1,	
Adrenomedullin signaling pathway	3.12E-01	NaN	4.76E-03	MAP2K3,	
ERK/MAPK Signaling	3.14E-01	NaN	4.81E-03	CREB5,	
ILK Signaling	3.19E-01	NaN	4.88E-03	CREB5,	
