© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_Random_Forest->randomforest_471genes_seed9_stdev0.5 - 2019-03-13 08:41 AM
Workspace	My Projects
Project	AIH_Random_Forest
Analysis	randomforest_471genes_seed9_stdev0.5 - 2019-03-13 08:41 AM
Date	Wed Mar 13 08:41:31 PDT 2019
Analysis ID	17549519

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_Random_Forest->randomforest_471genes_seed9_stdev0.5 - 2019-03-13 08:41 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Degradation	-0E00	NaN	1.90E-02	INPP5E,SACM1L,DUSP2	
AMPK Signaling	-0E00	NaN	1.83E-02	AK3,AKT3,ATM,PPP2R3B	
Agranulocyte Adhesion and Diapedesis	-0E00	NaN	5.21E-03	PPBP,	
Atherosclerosis Signaling	-0E00	NaN	1.56E-02	PLA2G10,COL5A3	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00	NaN	2.04E-02	ATM,	
Chondroitin Sulfate Biosynthesis	-0E00	NaN	1.75E-02	UST,	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00	NaN	2.04E-02	UST,	
Clathrin-mediated Endocytosis Signaling	-0E00	NaN	9.57E-03	SH3GLB2,ATM	
Corticotropin Releasing Hormone Signaling	-0E00	NaN	1.40E-02	CALM1 (includes others),ITPR3	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	NaN	1.39E-02	SACM1L,DUSP2	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	NaN	1.39E-02	SACM1L,DUSP2	
Dermatan Sulfate Biosynthesis	-0E00	NaN	1.69E-02	UST,	
Dopamine Receptor Signaling	-0E00	NaN	1.30E-02	PPP2R3B,	
Endocannabinoid Cancer Inhibition Pathway	-0E00	NaN	1.27E-02	AKT3,ATM	
FXR/RXR Activation	-0E00	NaN	1.59E-02	AKT3,MAPK8	
Granulocyte Adhesion and Diapedesis	-0E00	NaN	5.56E-03	PPBP,	
Gustation Pathway	-0E00	NaN	1.30E-02	NAPEPLD,ITPR3	
Gαi Signaling	-0E00	NaN	1.64E-02	RRAS2,RRAS	
Hematopoiesis from Pluripotent Stem Cells	-0E00	NaN	2.04E-02	FCER1G,	
Heparan Sulfate Biosynthesis	-0E00	NaN	1.20E-02	UST,	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	NaN	1.32E-02	UST,	
Hepatic Cholestasis	-0E00	NaN	1.25E-02	MAPK8,NFKBID	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	-0E00	NaN	1.08E-02	STAT1,COL5A3	
Iron homeostasis signaling pathway	-0E00	NaN	1.46E-02	BMPR1A,BMP8B	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	NaN	1.79E-02	ABCA1,MAPK8,UST,MGST3	
LXR/RXR Activation	-0E00	NaN	1.65E-02	ABCA1,RXRB	
MSP-RON Signaling Pathway	-0E00	NaN	1.35E-02	ATM,	
Mitochondrial Dysfunction	-0E00	NaN	1.75E-02	RHOT2,MAPK8,CYCS	
Netrin Signaling	-0E00	NaN	1.54E-02	NFATC2,	
Osteoarthritis Pathway	-0E00	NaN	1.42E-02	CTNNA1,BMPR1A,SMAD9	
Oxidative Phosphorylation	-0E00	NaN	9.17E-03	CYCS,	
PXR/RXR Activation	-0E00	NaN	1.54E-02	AKT3,	
Phototransduction Pathway	-0E00	NaN	1.89E-02	GUCA1B,	
Primary Immunodeficiency Signaling	-0E00	NaN	2.00E-02	ZAP70,	
Pyridoxal 5'-phosphate Salvage Pathway	-0E00	NaN	1.54E-02	MAPK8,	
Remodeling of Epithelial Adherens Junctions	-0E00	NaN	1.45E-02	CTNNA1,	
Role of Cytokines in Mediating Communication between Immune Cells	-0E00	NaN	1.85E-02	IL15,	
Salvage Pathways of Pyrimidine Ribonucleotides	-0E00	NaN	1.03E-02	MAPK8,	
Sirtuin Signaling Pathway	-0E00	NaN	1.03E-02	OGG1,ABCA1,TIMM44	
Toll-like Receptor Signaling	-0E00	NaN	1.32E-02	MAPK8,	
Triacylglycerol Degradation	-0E00	NaN	1.85E-02	CEL,	
Unfolded protein response	-0E00	NaN	1.79E-02	MAPK8,	
autophagy	-0E00	NaN	1.64E-02	VPS33B,	
Dermatan Sulfate Biosynthesis (Late Stages)	2.07E-01	NaN	2.17E-02	UST,	
FAT10 Cancer Signaling Pathway	2.07E-01	NaN	2.17E-02	AKT3,	
Pyrimidine Ribonucleotides De Novo Biosynthesis	2.07E-01	NaN	2.17E-02	UMPS,	
Role of p14/p19ARF in Tumor Suppression	2.12E-01	NaN	2.22E-02	ATM,	
Role of RIG1-like Receptors in Antiviral Innate Immunity	2.18E-01	NaN	2.27E-02	NFKBID,	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	2.24E-01	NaN	2.33E-02	IL15,	
Serotonin Receptor Signaling	2.24E-01	NaN	2.33E-02	HTR6,	
Intrinsic Prothrombin Activation Pathway	2.31E-01	NaN	2.38E-02	COL5A3,	
tRNA Splicing	2.31E-01	NaN	2.38E-02	NAPEPLD,	
Mechanisms of Viral Exit from Host Cells	2.37E-01	NaN	2.44E-02	SH3GLB2,	
IL-1 Signaling	2.44E-01	NaN	2.20E-02	MAPK8,NFKBID	
Inhibition of Matrix Metalloproteases	2.51E-01	NaN	2.56E-02	ADAM12,	
tRNA Charging	2.51E-01	NaN	2.56E-02	AARS2,	
Notch Signaling	2.58E-01	NaN	2.63E-02	DTX3,	
Androgen Signaling	2.65E-01	NaN	2.21E-02	CALM1 (includes others),POLR2J2/POLR2J3,GTF2H5	
Adipogenesis pathway	2.74E-01	NaN	2.24E-02	BMPR1A,GTF2H5,SMAD9	
B Cell Development	2.74E-01	NaN	2.78E-02	HLA-A,	
IL-17A Signaling in Fibroblasts	2.82E-01	NaN	2.86E-02	NFKBID,	
DNA Methylation and Transcriptional Repression Signaling	2.9E-01	NaN	2.94E-02	MTA1,	
Ethanol Degradation II	2.9E-01	NaN	2.94E-02	ACSS1,	
Circadian Rhythm Signaling	2.99E-01	NaN	3.03E-02	GRIN3B,	
Glutathione-mediated Detoxification	3.09E-01	NaN	3.12E-02	MGST3,	
VDR/RXR Activation	3.13E-01	NaN	2.56E-02	RXRB,KLF4	
G Protein Signaling Mediated by Tubby	3.18E-01	NaN	3.23E-02	PLCB1,	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	3.19E-01	NaN	2.60E-02	AXIN1,DVL2	
Tight Junction Signaling	3.31E-01	NaN	2.38E-02	CTNNA1,AKT3,ARHGEF2,PPP2R3B	
TREM1 Signaling	3.31E-01	NaN	2.67E-02	AKT3,NLRC4	
Neuroprotective Role of THOP1 in Alzheimer's Disease	3.38E-01	NaN	2.50E-02	HLA-A,ENDOU,HLA-C	
Leukocyte Extravasation Signaling	3.38E-01	NaN	2.35E-02	CTNNA1,ATM,ARHGAP4,MAPK8,CYBB	
G Beta Gamma Signaling	3.43E-01	NaN	2.52E-02	AKT3,RRAS2,RRAS	
p38 MAPK Signaling	3.48E-01	NaN	2.54E-02	STAT1,PLA2G10,JMJD7-PLA2G4B	
Ephrin B Signaling	3.51E-01	NaN	2.78E-02	AXIN1,CFL2	
Relaxin Signaling	3.53E-01	NaN	2.45E-02	AKT3,NAPEPLD,ATM,NFKBID	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	3.62E-01	NaN	3.70E-02	LPCAT2,	
Xenobiotic Metabolism Signaling	3.63E-01	NaN	2.34E-02	RRAS2,ATM,PPP2R3B,MAPK8,UST,RRAS,MGST3	
ERK5 Signaling	3.73E-01	NaN	2.90E-02	RRAS2,RRAS	
IL-10 Signaling	3.73E-01	NaN	2.90E-02	MAPK8,NFKBID	
Estrogen-mediated S-phase Entry	3.74E-01	NaN	3.85E-02	E2F6,	
Lipid Antigen Presentation by CD1	3.74E-01	NaN	3.85E-02	FCER1G,	
NAD Salvage Pathway II	3.74E-01	NaN	3.85E-02	NT5E,	
p53 Signaling	3.76E-01	NaN	2.65E-02	AKT3,ATM,MAPK8	
Eicosanoid Signaling	3.8E-01	NaN	2.94E-02	PLA2G10,PTGDR	
UVB-Induced MAPK Signaling	3.8E-01	NaN	2.94E-02	ATM,MAPK8	
3-phosphoinositide Biosynthesis	3.83E-01	NaN	2.48E-02	CD28,PIP4K2B,ATM,SACM1L,DUSP2	
CDP-diacylglycerol Biosynthesis I	3.87E-01	NaN	4.00E-02	LPCAT2,	
Ethanol Degradation IV	3.87E-01	NaN	4.00E-02	ACSS1,	
IL-17A Signaling in Gastric Cells	3.87E-01	NaN	4.00E-02	MAPK8,	
Glutathione Redox Reactions I	4.01E-01	NaN	4.17E-02	MGST3,	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	4.01E-01	NaN	4.17E-02	STAT1,	
Tumoricidal Function of Hepatic Natural Killer Cells	4.01E-01	NaN	4.17E-02	CYCS,	
Gαs Signaling	4.12E-01	NaN	2.80E-02	AVPR2,HTR6,PTGDR	
Putrescine Degradation III	4.15E-01	NaN	4.35E-02	SAT1,	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	4.15E-01	NaN	4.35E-02	INPP5E,	
Melanocyte Development and Pigmentation Signaling	4.25E-01	NaN	2.86E-02	RRAS2,ATM,RRAS	
IL-12 Signaling and Production in Macrophages	4.28E-01	NaN	2.70E-02	AKT3,STAT1,ATM,MAPK8	
Phagosome Maturation	4.28E-01	NaN	2.70E-02	HLA-A,HLA-C,VPS33B,CYBB	
Ephrin A Signaling	4.29E-01	NaN	3.23E-02	ATM,CFL2	
Retinoic acid Mediated Apoptosis Signaling	4.29E-01	NaN	3.23E-02	RXRB,CYCS	
Apelin Cardiac Fibroblast Signaling Pathway	4.3E-01	NaN	4.55E-02	AKT3,	
Polyamine Regulation in Colon Cancer	4.3E-01	NaN	4.55E-02	SAT1,	
PCP pathway	4.38E-01	NaN	3.28E-02	MAPK8,DVL2	
NER Pathway	4.38E-01	NaN	2.91E-02	POLD1,POLR2J2/POLR2J3,GTF2H5	
Endoplasmic Reticulum Stress Pathway	4.46E-01	NaN	4.76E-02	MAPK8,	
Oxidative Ethanol Degradation III	4.46E-01	NaN	4.76E-02	ACSS1,	
PPAR Signaling	4.52E-01	NaN	2.97E-02	RRAS2,RRAS,NFKBID	
Apelin Pancreas Signaling Pathway	4.56E-01	NaN	3.39E-02	ATM,MAPK8	
EIF2 Signaling	4.62E-01	NaN	2.62E-02	AKT3,RRAS2,EIF3A,ATM,AGO3,RRAS	
Cardiomyocyte Differentiation via BMP Receptors	4.63E-01	NaN	5.00E-02	BMPR1A,	
cAMP-mediated signaling	4.71E-01	NaN	2.64E-02	NAPEPLD,CALM1 (includes others),AVPR2,HTR6,AKAP17A,PTGDR	
Cardiac β-adrenergic Signaling	4.75E-01	NaN	2.86E-02	ATP2A3,NAPEPLD,PPP2R3B,AKAP17A	
GADD45 Signaling	4.81E-01	NaN	5.26E-02	ATM,	
Methylglyoxal Degradation III	4.81E-01	NaN	5.26E-02	AKR7A2,	
Cell Cycle Control of Chromosomal Replication	4.85E-01	NaN	3.57E-02	POLD1,CDK10	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	5E-01	NaN	5.56E-02	INPP5E,	
Apelin Muscle Signaling Pathway	5E-01	NaN	5.56E-02	AKT3,	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	5E-01	NaN	5.56E-02	INPP5E,	
