© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_DESeq2_formanuscript_041119->AIH_122018_~spl_plate+sex+age+case_hl_du_DEgenes_ALL - 2018-12-29 11:23 PM
Workspace	My Projects
Project	AIH_DESeq2_formanuscript_041119
Analysis	AIH_122018_~spl_plate+sex+age+case_hl_du_DEgenes_ALL - 2018-12-29 11:23 PM
Date	Sat Dec 29 20:24:02 PST 2018
Analysis ID	17253753

Experimental Metadata
projectname	AIH
organism	Human
case.tissue	Peripheral Blood
control.tissue	Peripheral Blood

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.6 and up regulated 0.6
Cutoff for Expression qvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_DESeq2_formanuscript_041119->AIH_122018_~spl_plate+sex+age+case_hl_du_DEgenes_ALL - 2018-12-29 11:23 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
ATM Signaling	-0E00	NaN	1.03E-02	GADD45A,	
Aryl Hydrocarbon Receptor Signaling	-0E00	NaN	7.04E-03	TFDP1,	
CDK5 Signaling	-0E00	NaN	9.52E-03	RALB,	
Cholecystokinin/Gastrin-mediated Signaling	-0E00	NaN	9.35E-03	RALB,	
EIF2 Signaling	-0E00	NaN	8.73E-03	RALB,IRS2	
Ephrin Receptor Signaling	-0E00	NaN	5.65E-03	RALB,	
FGF Signaling	-0E00	NaN	1.09E-02	IRS2,	
FXR/RXR Activation	-0E00	NaN	7.94E-03	SERPINA1,	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	NaN	1.09E-02	ACVR2B,	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	-0E00	NaN	1.09E-02	FCGR1A,	
Gαi Signaling	-0E00	NaN	8.20E-03	RALB,	
Human Embryonic Stem Cell Pluripotency	-0E00	NaN	6.90E-03	IRS2,	
Huntington's Disease Signaling	-0E00	NaN	7.94E-03	IRS2,CASP5	
Integrin Signaling	-0E00	NaN	9.05E-03	RALB,IRS2	
Neuropathic Pain Signaling In Dorsal Horn Neurons	-0E00	NaN	8.55E-03	IRS2,	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	NaN	8.33E-03	MMP9,	
OX40 Signaling Pathway	-0E00	NaN	1.11E-02	FCER1G,	
RANK Signaling in Osteoclasts	-0E00	NaN	9.62E-03	IRS2,	
RAR Activation	-0E00	NaN	5.26E-03	DUSP1,	
Reelin Signaling in Neurons	-0E00	NaN	1.06E-02	IRS2,	
RhoA Signaling	-0E00	NaN	8.13E-03	MYL4,	
RhoGDI Signaling	-0E00	NaN	5.71E-03	MYL4,	
Signaling by Rho Family GTPases	-0E00	NaN	7.94E-03	MYL4,IRS2	
Sperm Motility	-0E00	NaN	7.81E-03	PLBD1,	
Tight Junction Signaling	-0E00	NaN	5.95E-03	MYL4,	
mTOR Signaling	-0E00	NaN	9.62E-03	RALB,IRS2	
Crosstalk between Dendritic Cells and Natural Killer Cells	1.99E-01	NaN	1.12E-02	TLR4,	
Regulation of Actin-based Motility by Rho	1.99E-01	NaN	1.12E-02	MYL4,	
Allograft Rejection Signaling	2.08E-01	NaN	1.16E-02	FCER1G,	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.08E-01	NaN	1.16E-02	RALB,	
HIPPO signaling	2.11E-01	NaN	1.18E-02	DLG5,	
Heparan Sulfate Biosynthesis	2.17E-01	NaN	1.20E-02	SULT1B1,	
BMP signaling pathway	2.2E-01	NaN	1.22E-02	RALB,	
CD40 Signaling	2.23E-01	NaN	1.23E-02	IRS2,	
IL-17A Signaling in Airway Cells	2.27E-01	NaN	1.25E-02	IRS2,	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	2.27E-01	NaN	1.25E-02	IRS2,	
Aldosterone Signaling in Epithelial Cells	2.36E-01	NaN	1.15E-02	IRS2,DUSP1	
eNOS Signaling	2.36E-01	NaN	1.15E-02	AQP9,IRS2	
Chemokine Signaling	2.37E-01	NaN	1.30E-02	RALB,	
Dopamine Receptor Signaling	2.37E-01	NaN	1.30E-02	SMOX,	
Heparan Sulfate Biosynthesis (Late Stages)	2.41E-01	NaN	1.32E-02	SULT1B1,	
Wnt/β-catenin Signaling	2.41E-01	NaN	1.16E-02	KREMEN1,ACVR2B	
Agrin Interactions at Neuromuscular Junction	2.44E-01	NaN	1.33E-02	RALB,	
Cdc42 Signaling	2.53E-01	NaN	1.20E-02	MYL4,FCER1G	
Regulation of eIF4 and p70S6K Signaling	2.58E-01	NaN	1.21E-02	RALB,IRS2	
Relaxin Signaling	2.63E-01	NaN	1.23E-02	IRS2,MMP9	
EGF Signaling	2.64E-01	NaN	1.43E-02	IRS2,	
Role of IL-17A in Arthritis	2.64E-01	NaN	1.43E-02	IRS2,	
Gαq Signaling	2.66E-01	NaN	1.23E-02	IRS2,RGS2	
Lymphotoxin β Receptor Signaling	2.68E-01	NaN	1.45E-02	IRS2,	
Remodeling of Epithelial Adherens Junctions	2.68E-01	NaN	1.45E-02	TUBB2A,	
Endocannabinoid Cancer Inhibition Pathway	2.77E-01	NaN	1.27E-02	IRS2,CASP5	
Calcium-induced T Lymphocyte Apoptosis	2.81E-01	NaN	1.52E-02	FCER1G,	
Opioid Signaling Pathway	2.84E-01	NaN	1.22E-02	RALB,CACNA1E,CACNA1C	
Melatonin Degradation I	2.85E-01	NaN	1.54E-02	SULT1B1,	
PXR/RXR Activation	2.85E-01	NaN	1.54E-02	FOXO3,	
Gustation Pathway	2.88E-01	NaN	1.30E-02	CACNA1E,CACNA1C	
Phospholipase C Signaling	2.89E-01	NaN	1.23E-02	RALB,MYL4,FCER1G	
Phospholipases	2.94E-01	NaN	1.59E-02	PLBD1,	
Regulation of Cellular Mechanics by Calpain Protease	2.94E-01	NaN	1.59E-02	RALB,	
Actin Nucleation by ARP-WASP Complex	2.99E-01	NaN	1.61E-02	RALB,	
Ephrin A Signaling	2.99E-01	NaN	1.61E-02	IRS2,	
Retinoic acid Mediated Apoptosis Signaling	2.99E-01	NaN	1.61E-02	PARP9,	
Induction of Apoptosis by HIV1	3.04E-01	NaN	1.64E-02	NAIP,	
Phagosome Maturation	3.06E-01	NaN	1.35E-02	TUBB2A,MPO	
SPINK1 Pancreatic Cancer Pathway	3.09E-01	NaN	1.67E-02	ELANE,	
Apelin Pancreas Signaling Pathway	3.14E-01	NaN	1.69E-02	IRS2,	
