© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Workspace	My Projects
Project	AIH_WGCNA
Analysis	top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Date	Thu May 09 22:09:57 PDT 2019
Analysis ID	17791075

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Axonal Guidance Signaling	5.13E-01	NaN	2.00E-03	KEL,	
Xenobiotic Metabolism Signaling	7.03E-01	NaN	3.30E-03	FTL,	
Sirtuin Signaling Pathway	7.17E-01	NaN	3.42E-03	SLC2A1,	
AMPK Signaling	8.19E-01	NaN	4.42E-03	SLC2A1,	
NRF2-mediated Oxidative Stress Response	8.56E-01	NaN	4.85E-03	FTL,	
Acute Phase Response Signaling	9.13E-01	NaN	5.59E-03	FTL,	
Iron homeostasis signaling pathway	1.02E00	NaN	7.30E-03	FTL,	
HIF1α Signaling	1.05E00	NaN	7.75E-03	SLC2A1,	
Antioxidant Action of Vitamin C	1.11E00	NaN	9.01E-03	SLC2A1,	
TR/RXR Activation	1.15E00	NaN	1.00E-02	SLC2A1,	
IL-7 Signaling Pathway	1.19E00	NaN	1.08E-02	SLC2A1,	
Renal Cell Carcinoma Signaling	1.19E00	NaN	1.08E-02	SLC2A1,	
Autophagy	1.36E00	NaN	1.64E-02	CTSB,	
SPINK1 Pancreatic Cancer Pathway	1.37E00	NaN	1.67E-02	CTSB,	
PFKFB4 Signaling Pathway	1.48E00	NaN	2.17E-02	HK1,	
BAG2 Signaling Pathway	1.51E00	NaN	2.33E-02	CTSB,	
Inflammasome pathway	1.84E00	NaN	5.00E-02	CTSB,	
Vitamin-C Transport	1.94E00	NaN	6.25E-02	SLC2A1,	
Glucose and Glucose-1-phosphate Degradation	2.1E00	NaN	9.09E-02	HK1,	
UDP-N-acetyl-D-galactosamine Biosynthesis II	2.1E00	NaN	9.09E-02	HK1,	
GDP-glucose Biosynthesis	2.14E00	NaN	1.00E-01	HK1,	
Phagosome Maturation	2.3E00	NaN	1.35E-02	RILP,CTSB	
Trehalose Degradation II (Trehalase)	2.44E00	NaN	2.00E-01	HK1,	

Upstream Regulators for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Analysis	ID	Upstream Regulator	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	MLIP	other	 	 	 	 	 	5.07E-07	HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	KLF1	transcription regulator	 	 	 	 	 	4.86E-06	BSG,KEL,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ATG7	enzyme	 	 	 	 	 	1.59E-05	CTSB,HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PIK3CB	kinase	 	 	 	 	 	3.33E-05	HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	RBBP7	transcription regulator	 	 	 	 	 	3.94E-05	KLF1,LYL1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CD46	other	 	 	 	 	 	7.71E-05	SLC2A1,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	L-dopa	chemical - endogenous mammalian	 	 	 	 	 	9.32E-05	CTSB,FTL,RILP,SLC2A1,TMCC2	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	IDO1	enzyme	 	 	 	 	 	1.06E-04	SLC1A5,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SYVN1	transporter	 	 	 	 	 	1.26E-04	SLC1A5,SLC2A1,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TCR	complex	 	 	 	 	 	1.33E-04	BSG,CTSB,SLC1A5,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	MTA2	transcription regulator	 	 	 	 	 	1.63E-04	KLF1,LYL1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PRKCI	kinase	 	 	 	 	 	2.18E-04	HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PRKAG3	other	 	 	 	 	 	2.27E-04	FTL,SLC2A1,TMCC2	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PRMT1	enzyme	 	 	 	 	 	3.15E-04	FTL,KLF1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CSF2	cytokine	 	 	 	 	 	3.59E-04	BSG,KLF1,SLC1A5,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ABCB6	transporter	 	 	 	 	 	4.50E-04	HK1,KLF1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CSF1	cytokine	 	 	 	 	 	5.05E-04	SLC1A5,SLC2A1,SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	BAG2	other	 	 	 	 	 	7.36E-04	CTSB	 	
