© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_Random_Forest->randomforest_4389genes_seed7_stdev0.5 - 2019-03-12 05:18 PM
Workspace	My Projects
Project	AIH_Random_Forest
Analysis	randomforest_4389genes_seed7_stdev0.5 - 2019-03-12 05:18 PM
Date	Tue Mar 12 17:18:38 PDT 2019
Analysis ID	17546322

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_Random_Forest->randomforest_4389genes_seed7_stdev0.5 - 2019-03-12 05:18 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	-0E00	NaN	1.11E-01	ITPKB,INPP5E	
Acyl-CoA Hydrolysis	-0E00	NaN	8.33E-02	THEM5,	
Adenine and Adenosine Salvage III	-0E00	NaN	1.43E-01	ADAT3,	
Agranulocyte Adhesion and Diapedesis	-0E00	NaN	1.51E-01	ITGA2,SELL,PODXL2,CXCR4,IL1RN,ACTG1,MYH7B,CLDN5,CLDN20,CXCL5,ICAM2,MYL4,CCL28,MSN,EZR,ITGA6,CLDN12,MMP21,MYL6B,CLDN15,MYL9,MMP17,PPBP,CXCL8,XCL2,CLDN23,SELPLG,ICAM1,ITGA5	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00	NaN	1.25E-01	CXCL8,	
Allograft Rejection Signaling	-0E00	NaN	1.16E-01	HLA-DPB1,HLA-A,CD28,IFNG,HLA-DRB5,PRF1,HLA-C,HLA-DOB,FCER1G,CD86	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	NaN	1.54E-01	SMAD2,SMAD3,RPS6KA1,SMAD4	
Apelin Liver Signaling Pathway	-0E00	NaN	1.54E-01	MAP2K4,IRS1,COL5A3,MAPK8	
Aryl Hydrocarbon Receptor Signaling	-0E00	NaN	1.76E-01	NCOR2,MCM7,MGST2,NFIC,DHFR,ALDH1A1,ALDH3B1,ALDH1L2,CDKN1A,ATR,MAPK8,GSTP1,TRIP11,MGST3,NFKB1,AHRR,ATM,GSTM3,RXRB,NFIA,MGST1,RELA,HSPB1,NFKB2,GSTZ1	
Aspartate Degradation II	-0E00	NaN	1.43E-01	GOT1,	
Assembly of RNA Polymerase I Complex	-0E00	NaN	1.67E-01	TBP,UBTF	
Atherosclerosis Signaling	-0E00	NaN	1.64E-01	PAFAH1B2,NFKB1,IFNG,PLA2G10,COL5A3,PLA2G7,PLA2G6,CXCL8,RELA,PDGFC,PLA2G4C,NFKB2,LYZ,CXCR4,IL1RN,SELPLG,SERPINA1,TNFRSF12A,PLB1,PLBD1,ICAM1	
Autoimmune Thyroid Disease Signaling	-0E00	NaN	1.84E-01	HLA-A,CD28,HLA-DRB5,PRF1,HLA-C,HLA-DOB,FCER1G,TG,CD86	
B Cell Development	-0E00	NaN	1.94E-01	SPN,HLA-A,HLA-DRB5,IL7R,HLA-DOB,PTPRC,CD86	
Bladder Cancer Signaling	-0E00	NaN	1.38E-01	KRAS,RRAS2,MMP21,MAP2K1,MMP17,CXCL8,PDGFC,RASSF1,CDKN1A,FGF13,RAP2B,HRAS,RRAS	
Calcium Transport I	-0E00	NaN	1.00E-01	ATP2A3,	
Cdc42 Signaling	-0E00	NaN	1.80E-01	PARD3,ITGA2,FCER1G,ARPC5L,APC,MPRIP,CFL1,HLA-DRB5,ITK,MAPK8,PRKCZ,HLA-DPB1,MYL4,LIMK2,CDC42SE1,HLA-DOB,MYL6B,MYL9,CFL2,VAV2,HLA-A,MAP2K4,MYLPF,MAPK13,MYLK,PPP1CB,HLA-C,CDC42EP2,ITGA5,TNK2	
Choline Biosynthesis III	-0E00	NaN	1.54E-01	PCYT1A,PLD4	
Chondroitin Sulfate Biosynthesis	-0E00	NaN	1.40E-01	B4GALT7,HS3ST3B1,CHST2,SULT2B1,B3GAT1,CHPF2,UST,XYLT1	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00	NaN	8.16E-02	HS3ST3B1,CHST2,SULT2B1,UST	
Chondroitin and Dermatan Biosynthesis	-0E00	NaN	1.67E-01	CHPF2,	
Circadian Rhythm Signaling	-0E00	NaN	1.52E-01	CSNK1E,GRIN3B,CREB1,CREB5,PER2	
Coagulation System	-0E00	NaN	1.71E-01	A2M,F2R,PLAUR,SERPINF2,SERPINA1,F5	
Communication between Innate and Adaptive Immune Cells	-0E00	NaN	1.56E-01	TLR5,TNFSF13B,IL15,TLR7,IFNG,FCER1G,CXCL8,HLA-A,IL1RN,CD28,HLA-DRB5,TNFRSF13C,HLA-C,TLR10,CD86	
Cyclins and Cell Cycle Regulation	-0E00	NaN	1.85E-01	E2F6,E2F5,HDAC10,ATM,PPP2R3B,PPP2R3A,BTRC,HDAC6,CDKN2D,CDKN1A,ATR,PPP2R5D,PPP2CB,HDAC11,PPP2CA	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	-0E00	NaN	1.11E-01	ITPKB,INPP5E	
D-myo-inositol (1,4,5)-trisphosphate Degradation	-0E00	NaN	1.76E-01	INPP1,INPP5E,IMPA2	
Dermatan Sulfate Biosynthesis	-0E00	NaN	1.69E-01	B4GALT7,HS3ST3B1,CHST2,SULT2B1,DSE,B3GAT1,CHPF2,DSEL,UST,XYLT1	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	NaN	1.30E-01	HS3ST3B1,CHST2,SULT2B1,DSE,DSEL,UST	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	-0E00	NaN	8.70E-02	IFNG,LCN2	
Dopamine Degradation	-0E00	NaN	1.08E-01	ALDH1A1,ALDH3B1,ALDH1L2,IL4I1	
Embryonic Stem Cell Differentiation into Cardiac Lineages	-0E00	NaN	1.00E-01	SP4,	
Ephrin Receptor Signaling	-0E00	NaN	1.86E-01	AKT3,CREB1,ITGA2,AXIN1,ARPC5L,MAP2K1,RAC2,EPHB1,GNAL,GRIN3B,CXCR4,CFL1,PTPN11,RAP2B,CRK,PTPN13,KRAS,LIMK2,RRAS2,EPHB2,AKT2,SOS1,CFL2,RHOA,PDGFC,GNAS,GNG5,CREB5,NCK2,GNG2,HRAS,ITGA5,RRAS	
Estrogen Biosynthesis	-0E00	NaN	1.71E-01	POR,AKR1C3,CYP51A1,CYP3A4,CYP2S1,CYP2D6,CYP2A6 (includes others)	
Estrogen-mediated S-phase Entry	-0E00	NaN	1.15E-01	E2F6,E2F5,CDKN1A	
Ethanol Degradation II	-0E00	NaN	1.76E-01	ACSL1,ACSS1,ALDH1A1,ALDH3B1,ALDH1L2,ADHFE1	
Extrinsic Prothrombin Activation Pathway	-0E00	NaN	6.25E-02	F5,	
FXR/RXR Activation	-0E00	NaN	9.52E-02	FABP6,AKT3,IL1RN,MAP2K4,SERPINF2,SERPINA1,FBP1,SCARB1,MAPK8,SLC27A5,FOXO1,AKT2	
Fatty Acid α-oxidation	-0E00	NaN	1.36E-01	ALDH1A1,ALDH3B1,ALDH1L2	
GABA Receptor Signaling	-0E00	NaN	1.68E-01	CACNA1E,CACNB4,GABBR1,GABARAP,CACNG1,NSF,CACNB2,KCNN4,CACNA1F,AP1G2,GNAS,UBB,AP2A2,CACNA1C,UBC,CACNB3	
GADD45 Signaling	-0E00	NaN	1.58E-01	ATM,CDKN1A,ATR	
Glucocorticoid Biosynthesis	-0E00	NaN	1.82E-01	CYP17A1,CYP11B1	
Glucose and Glucose-1-phosphate Degradation	-0E00	NaN	1.82E-01	PGM2L1,HK1	
Glycine Cleavage Complex	-0E00	NaN	1.67E-01	DLD,	
Glycogen Biosynthesis II (from UDP-D-Glucose)	-0E00	NaN	1.67E-01	GYG1,	
Granulocyte Adhesion and Diapedesis	-0E00	NaN	1.72E-01	ITGAL,ITGA2,SELL,FPR1,CXCR4,IL1RN,HRH4,CLDN5,ITGB3,CLDN20,CXCL5,ICAM2,CCL28,TNFRSF1B,MSN,EZR,ITGA6,FPR2,CLDN12,MMP21,CLDN15,MMP17,PPBP,CXCL8,HSPB1,XCL2,IL18RAP,CLDN23,SELPLG,ICAM1,ITGA5	
Granzyme A Signaling	-0E00	NaN	1.50E-01	HIST1H1D,GZMA,PRF1	
Hematopoiesis from Multipotent Stem Cells	-0E00	NaN	8.33E-02	IL15,	
Hematopoiesis from Pluripotent Stem Cells	-0E00	NaN	4.08E-02	FCER1G,CXCL8	
Heme Biosynthesis II	-0E00	NaN	1.11E-01	ALAS2,	
Heparan Sulfate Biosynthesis	-0E00	NaN	1.57E-01	HS3ST3B1,CHST2,SULT2B1,B3GAT1,UST,XYLT1,EXTL2,B4GALT7,PRDX6,AARS,LIPE,CES2,EXT2	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	NaN	1.32E-01	PRDX6,HS3ST3B1,CHST2,SULT2B1,AARS,LIPE,CES2,UST,EXT2,EXTL2	
Hepatic Cholestasis	-0E00	NaN	1.63E-01	FABP6,MAP4K2,IFNG,PRKAR2B,PRKAG2,PRKACB,NFKBID,IKBKG,IL1RN,PRKCB,PRKAR1B,MAPK8,PRKCH,IRAK2,PRKCZ,NFKB1,PRKD3,TNFRSF1B,INSR,IKBKB,CXCL8,RELA,NFKB2,MAP2K4,IL18RAP,PRKACA	
