© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_DESeq2_Bootstrap_TreatmentNaive->AIH_041019_~spl_plate+sex+age+status_coll_aihelite_AIHnaiv - 2019-04-10 06:41 PM->seed993408
Workspace	My Projects
Project	AIH_DESeq2_Bootstrap_TreatmentNaive
Analysis	seed993408
Date	Wed Apr 10 18:41:35 PDT 2019
Analysis ID	17675923

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.6 and up regulated 0.6
Cutoff for Expression qvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_DESeq2_Bootstrap_TreatmentNaive->AIH_041019_~spl_plate+sex+age+status_coll_aihelite_AIHnaiv - 2019-04-10 06:41 PM->seed993408
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
14-3-3-mediated Signaling	-0E00	0.0	7.75E-02	TUBB4A,SNCA,FLT3,TUBA8,KLB,MRAS,TUBB1,TUBB2B,TP73,KL,PLCD3	
4-1BB Signaling in T Lymphocytes	-0E00	NaN	3.12E-02	MAPK11,	
Acetone Degradation I (to Methylglyoxal)	-0E00	NaN	3.33E-02	CYP3A4,	
Actin Nucleation by ARP-WASP Complex	-0E00	NaN	4.17E-02	RHOBTB2,MRAS,WASF1	
Acute Myeloid Leukemia Signaling	-0E00	-1.1338934190276817	6.80E-02	PML,FLT3,MRAS,KLB,CCND1,KIT,KL	
Acute Phase Response Signaling	-0E00	-1.8973665961010275	9.50E-02	C3,RBP7,MRAS,OSMR,A2M,C4A/C4B,IL18,ORM1,RBP2,SERPINF2,F8,SOCS1,SOCS6,MAPK11,VWF,SERPINE1,SERPING1	
Acyl-CoA Hydrolysis	-0E00	NaN	8.33E-02	ACOT4,	
Adipogenesis pathway	-0E00	NaN	7.46E-02	EZH2,HDAC6,HAT1,SAP30,FZD6,DDIT3,PPIP5K1,EGR2,BMP2,GTF2H5	
Agranulocyte Adhesion and Diapedesis	-0E00	NaN	8.33E-02	CCL4L1/CCL4L2,GNAI1,CLDN3,MSN,MYL6B,MMP21,ACTA2,MYL9,MYH9,CXCL6,MYL6,IL18,CKLF,XCL2,MMP8,MMP15	
Agrin Interactions at Neuromuscular Junction	-0E00	-1.6329931618554523	8.97E-02	CTTN,MRAS,NRG1,ITGB3,ACTA2,ERBB3,LAMA2	
Aldosterone Signaling in Epithelial Cells	-0E00	-0.8164965809277261	8.05E-02	HSPA1L,SCNN1A,DNAJC1,KL,HSPE1,PLCD3,DNAJB2,DNAJC8,FLT3,DNAJC27,KLB,ASIC3,HSP90AA1,SLC12A1	
Allograft Rejection Signaling	-0E00	NaN	9.30E-02	HLA-DPB1,HLA-DQA1,CD80,HLA-G,HLA-DOB,B2M,CD40,HLA-DRA	
Amyloid Processing	-0E00	NaN	9.80E-02	BACE2,CAPN5,PRKAR2B,MAPK11,PRKAG1	
Amyotrophic Lateral Sclerosis Signaling	-0E00	-1.6666666666666667	8.85E-02	GRIN3B,CAPN5,FLT3,GRIK4,KLB,SOD1,BCL2L1,SSR4,KL,GRIN3A	
Angiopoietin Signaling	-0E00	-2.0	7.87E-02	TIE1,FLT3,MRAS,KLB,BIRC5,KL,TEK	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	-1.0	1.00E-01	FLT3,MRAS,KLB,GNG7,GUCY2D,SMARCC2,GUCY2C,KL,CTH	
