© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_DESeq2_formanuscript_041119->AIH_041119_~spl_plate+sex+age+steroid+status_coll_aihelite_Non-elite.vs.Elite
Workspace	My Projects
Project	AIH_DESeq2_formanuscript_041119
Analysis	AIH_041119_~spl_plate+sex+age+steroid+status_coll_aihelite_Non-elite.vs.Elite
Date	Thu Apr 11 21:47:51 PDT 2019
Analysis ID	17683029

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.6 and up regulated 0.6
Cutoff for Expression qvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_DESeq2_formanuscript_041119->AIH_041119_~spl_plate+sex+age+steroid+status_coll_aihelite_Non-elite.vs.Elite
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	-0E00	-2.0	1.95E-02	FGFR2,PHOSPHO1,KIT,KL	
3-phosphoinositide Degradation	-0E00	NaN	6.33E-03	PHOSPHO1,	
AMPK Signaling	-0E00	0.0	2.21E-02	FGFR2,RAB39A,CKM,CPT1B,KL	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	NaN	1.59E-02	TNF,	
Acute Myeloid Leukemia Signaling	-0E00	NaN	2.91E-02	FGFR2,KIT,KL	
Acute Phase Response Signaling	-0E00	NaN	2.79E-02	TNF,RBP2,ITIH3,SERPINF2,SERPING1	
Adipogenesis pathway	-0E00	NaN	2.99E-02	FGFR2,TNF,MNAT1,SMAD9	
Adrenomedullin signaling pathway	-0E00	0.8164965809277261	2.86E-02	FGFR2,ADCY6,TNF,GUCY2D,KL,PLCH1	
Agrin Interactions at Neuromuscular Junction	-0E00	NaN	1.28E-02	PAK3,	
Aldosterone Signaling in Epithelial Cells	-0E00	-1.0	2.87E-02	FGFR2,DNAJB13,KL,PLCH1,SLC12A1	
Allograft Rejection Signaling	-0E00	NaN	2.33E-02	HLA-DQA2,TNF	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	NaN	2.22E-02	PRTN3,TNF	
Amyloid Processing	-0E00	NaN	1.96E-02	CDK5R1,	
Antigen Presentation Pathway	-0E00	NaN	2.56E-02	HLA-DQA2,	
Apoptosis Signaling	-0E00	NaN	2.02E-02	TNF,GAS2	
