© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_DESeq2_formanuscript_041119->AIH_012919_~spl_plate+sex+age+fibrosis_groups_DEgenes_ALL - 2019-01-29 09:37 PM->AIHnocirrhosis-vs-healthy
Workspace	My Projects
Project	AIH_DESeq2_formanuscript_041119
Analysis	AIHnocirrhosis-vs-healthy
Date	Tue Jan 29 21:37:22 PST 2019
Analysis ID	17364207

Experimental Metadata
projectname	AIH
organism	Human
case.tissue	Peripheral blood

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.6 and up regulated 0.6
Cutoff for Expression qvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_DESeq2_formanuscript_041119->AIH_012919_~spl_plate+sex+age+fibrosis_groups_DEgenes_ALL - 2019-01-29 09:37 PM->AIHnocirrhosis-vs-healthy
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cdc42 Signaling	-0E00	NaN	5.99E-03	FCER1G,	
Ephrin Receptor Signaling	-0E00	NaN	5.65E-03	RALB,	
Gustation Pathway	-0E00	NaN	6.49E-03	CACNA1E,	
Gαq Signaling	-0E00	NaN	6.17E-03	IRS2,	
Huntington's Disease Signaling	-0E00	NaN	3.97E-03	IRS2,	
ILK Signaling	-0E00	NaN	5.08E-03	IRS2,	
Protein Kinase A Signaling	-0E00	NaN	5.01E-03	DUSP1,PTPRS	
RAR Activation	-0E00	NaN	5.26E-03	DUSP1,	
Relaxin Signaling	-0E00	NaN	6.13E-03	IRS2,	
Signaling by Rho Family GTPases	-0E00	NaN	3.97E-03	IRS2,	
Human Embryonic Stem Cell Pluripotency	2.06E-01	NaN	6.90E-03	IRS2,	
Corticotropin Releasing Hormone Signaling	2.1E-01	NaN	6.99E-03	CACNA1E,	
Aryl Hydrocarbon Receptor Signaling	2.11E-01	NaN	7.04E-03	CDKN1A,	
Iron homeostasis signaling pathway	2.21E-01	NaN	7.30E-03	CD163,	
Androgen Signaling	2.23E-01	NaN	7.35E-03	CACNA1E,	
Adipogenesis pathway	2.27E-01	NaN	7.46E-03	CEBPD,	
