© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_WGCNA->blue_genes_WGCNA_19_0301 - 2019-05-02 08:43 AM
Workspace	My Projects
Project	AIH_WGCNA
Analysis	blue_genes_WGCNA_19_0301 - 2019-05-02 08:43 AM
Date	Thu May 02 08:43:50 PDT 2019
Analysis ID	17760109

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_WGCNA->blue_genes_WGCNA_19_0301 - 2019-05-02 08:43 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Acetone Degradation I (to Methylglyoxal)	-0E00	NaN	3.33E-02	ZADH2,	
Actin Nucleation by ARP-WASP Complex	-0E00	NaN	4.17E-02	ITGA2,WASL,NCK1	
Agranulocyte Adhesion and Diapedesis	-0E00	NaN	5.21E-02	CCL3,ACTG1,ACTB,ITGA2,MSN,ACTA2,ITGB2,RDX,MMP14,MYH9	
Allograft Rejection Signaling	-0E00	NaN	2.33E-02	CD80,HLA-DQB2	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	NaN	5.56E-02	NFKB2,NFKB1,TGFB1,RELB,CD80	
Amyotrophic Lateral Sclerosis Signaling	-0E00	NaN	3.54E-02	PIK3C2A,FRS2,CAPNS1,CAPN7	
Angiopoietin Signaling	-0E00	NaN	6.74E-02	NFKB2,NFKB1,PIK3C2A,FRS2,RASA1,NCK1	
Antioxidant Action of Vitamin C	-0E00	NaN	6.31E-02	NFKB2,NFKB1,PLCB2,PLD2,PDIA3,PNPLA8,MAPK8	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	NaN	5.56E-02	PIK3C2A,FRS2,GNB1,MAP2K1,ELK1	
Apelin Adipocyte Signaling Pathway	-0E00	NaN	6.25E-02	MAPK8,GPX2,PRKACA,PRKACB,PRKAR2A	
Apelin Cardiac Fibroblast Signaling Pathway	-0E00	NaN	4.55E-02	TGFB1,	
