"","stddev","value","count","percent","description"
"1",1,"ARHGAP4",3,30,"ARHGAP4  ( 30 %)"
"2",1,"COL5A3",5,50,"COL5A3  ( 50 %)"
"3",1,"EZH1",1,10,"EZH1  ( 10 %)"
"4",1,"FLYWCH1",3,30,"FLYWCH1  ( 30 %)"
"5",1,"GIGYF1",10,100,"GIGYF1  ( 100 %)"
"6",1,"MAPK8IP3",2,20,"MAPK8IP3  ( 20 %)"
"7",1,"MEGF6",2,20,"MEGF6  ( 20 %)"
"8",1,"PTOV1",9,90,"PTOV1  ( 90 %)"
"9",1,"RHOT2",1,10,"RHOT2  ( 10 %)"
"10",1.25,"ARHGAP4",5,50,"ARHGAP4  ( 50 %)"
"11",1.25,"COL5A3",6,60,"COL5A3  ( 60 %)"
"12",1.25,"FLYWCH1",7,70,"FLYWCH1  ( 70 %)"
"13",1.25,"GIGYF1",9,90,"GIGYF1  ( 90 %)"
"14",1.25,"MAPK8IP3",1,10,"MAPK8IP3  ( 10 %)"
"15",1.25,"MEGF6",1,10,"MEGF6  ( 10 %)"
"16",1.25,"PTOV1",10,100,"PTOV1  ( 100 %)"
"17",1.5,"GIGYF1",10,100,"GIGYF1  ( 100 %)"
"18",1.5,"PTOV1",10,100,"PTOV1  ( 100 %)"
"19",1.75,"COL5A3",1,10,"COL5A3  ( 10 %)"
"20",1.75,"FLYWCH1",3,30,"FLYWCH1  ( 30 %)"
"21",1.75,"GIGYF1",10,100,"GIGYF1  ( 100 %)"
"22",1.75,"PTOV1",8,80,"PTOV1  ( 80 %)"
"23",1.75,"SLC4A10",1,10,"SLC4A10  ( 10 %)"
"24",2,"FLYWCH1",2,20,"FLYWCH1  ( 20 %)"
"25",2,"GIGYF1",9,90,"GIGYF1  ( 90 %)"
"26",2,"PTOV1",9,90,"PTOV1  ( 90 %)"
